COMID,TOT_BUSHREED1,TOT_BUSHREED2,TOT_BUSHREED3,TOT_BUSHREED4,TOT_BUSHREED5,TOT_BUSHREED6,TOT_BUSHREED8,TOT_BUSHREED9,TOT_BUSHREED10,TOT_NODATA,source
3917070,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917072,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917082,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917084,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917106,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917114,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917130,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917136,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917138,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917154,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917156,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917158,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917160,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917162,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917164,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917172,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917176,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917178,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917194,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917198,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917200,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917212,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917214,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917218,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917220,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917228,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917230,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917244,0,0,7.94,0,0,92.06,0,0,0,0,BUSHREED_TOT_CONUS
3917250,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917256,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917268,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917272,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917274,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917276,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917278,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917280,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917282,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917284,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917286,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917912,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917914,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917916,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917918,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917920,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917922,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917946,0,0,7.81,0,0,92.19,0,0,0,0,BUSHREED_TOT_CONUS
3917948,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917950,0,0,8.04,0,0,91.96,0,0,0,0,BUSHREED_TOT_CONUS
3917956,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917958,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
3917960,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
948010089,0,0,0,0,0,100,0,0,0,0,BUSHREED_TOT_CONUS
