COMID,CAT_EWT,NODATA,ACC_EWT,ACC_NODATA,TOT_EWT,TOT_NODATA,source
3917070,-67.01,0,-67.01,0,-67.01,0,EWT_CONUS
3917072,-63.29,0,-63.29,0,-63.29,0,EWT_CONUS
3917082,-47.98,0,-47.98,0,-47.98,0,EWT_CONUS
3917084,-70.91,0,-70.91,0,-70.91,0,EWT_CONUS
3917106,-51.85,0,-62.35,0,-62.35,0,EWT_CONUS
3917114,-39.53,0,-39.53,0,-39.53,0,EWT_CONUS
3917130,-46.87,0,-51.54,0,-51.54,0,EWT_CONUS
3917136,-67.1,0,-67.1,0,-67.1,0,EWT_CONUS
3917138,-34.8,0,-34.8,0,-34.8,0,EWT_CONUS
3917154,-44.57,0,-48.79,0,-48.79,0,EWT_CONUS
3917156,-49.75,0,-49.75,0,-49.75,0,EWT_CONUS
3917158,-21.66,0,-21.66,0,-21.66,0,EWT_CONUS
3917160,-15.59,0,-15.59,0,-15.59,0,EWT_CONUS
3917162,-60.46,0,-52.01,0,-52.01,0,EWT_CONUS
3917164,-37.83,0,-37.83,0,-37.83,0,EWT_CONUS
3917172,-57.81,0,-57.81,0,-57.81,0,EWT_CONUS
3917176,-23.83,0,-50.22,0,-50.22,0,EWT_CONUS
3917178,-33.82,0,-50.8,0,-50.8,0,EWT_CONUS
3917194,-40.62,0,-40.62,0,-40.62,0,EWT_CONUS
3917198,-8.77,0,-44.34,0,-44.34,0,EWT_CONUS
3917200,-12,0,-43.1,0,-43.1,0,EWT_CONUS
3917212,-20.09,0,-20.09,0,-20.09,0,EWT_CONUS
3917214,-21.01,0,-21.01,0,-21.01,0,EWT_CONUS
3917218,-16.68,0,-19.84,0,-19.84,0,EWT_CONUS
3917220,-2,0,-18.64,0,-18.64,0,EWT_CONUS
3917228,-2.32,0,-2.32,0,-2.32,0,EWT_CONUS
3917230,-4.58,0,-4.58,0,-4.58,0,EWT_CONUS
3917244,-16.21,0,-22.86,0,-22.15,0,EWT_CONUS
3917250,-15.77,0,-15.77,0,-15.77,0,EWT_CONUS
3917256,-7.05,0,-26.32,0,-26.32,0,EWT_CONUS
3917268,-28.61,0,-26.42,0,-26.42,0,EWT_CONUS
3917272,-26.58,0,-33.81,0,-33.81,0,EWT_CONUS
3917274,-13.09,0,-13.09,0,-13.09,0,EWT_CONUS
3917276,-50.23,0,-52.08,0,-52.08,0,EWT_CONUS
3917278,-21.15,0,-46.25,0,-46.25,0,EWT_CONUS
3917280,-9.89,0,-38.76,0,-38.76,0,EWT_CONUS
3917282,-21.57,0,-42.47,0,-42.47,0,EWT_CONUS
3917284,-30.41,0,-41.36,0,-41.36,0,EWT_CONUS
3917286,-8.6,0,-8.6,0,-8.6,0,EWT_CONUS
3917912,-55.14,0,-51.89,0,-51.89,0,EWT_CONUS
3917914,-50.49,0,-52.74,0,-52.74,0,EWT_CONUS
3917916,-45.93,0,-45.49,0,-45.49,0,EWT_CONUS
3917918,-16.75,0,-46.4,0,-46.4,0,EWT_CONUS
3917920,-10.53,0,-15.63,0,-15.63,0,EWT_CONUS
3917922,-27.22,0,-27.22,0,-27.22,0,EWT_CONUS
3917946,-12.86,0,-22.6,0,-21.98,0,EWT_CONUS
3917948,-7.38,0,-42.43,0,-42.43,0,EWT_CONUS
3917950,-6.82,0,-22.97,0,-22.23,0,EWT_CONUS
3917956,-37.32,0,-37.32,0,-37.32,0,EWT_CONUS
3917958,-39.94,0,-39.94,0,-39.94,0,EWT_CONUS
3917960,-60.54,0,-60.54,0,-60.54,0,EWT_CONUS
948010089,-6.14,0,-25.34,0,-25.34,0,EWT_CONUS
