COMID,CAT_RF7100,NODATA,ACC_RF7100,ACC_NODATA,TOT_RF7100,TOT_NODATA,source
3917070,33,0,33,0,33,0,RF7100_CONUS
3917072,33,0,33,0,33,0,RF7100_CONUS
3917082,23.5,0,23.5,0,23.5,0,RF7100_CONUS
3917084,27.37,0,27.37,0,27.37,0,RF7100_CONUS
3917106,25.61,0,26.48,0,26.48,0,RF7100_CONUS
3917114,31.2,0,31.2,0,31.2,0,RF7100_CONUS
3917130,31.2,0,27.54,0,27.54,0,RF7100_CONUS
3917136,23.08,0,23.08,0,23.08,0,RF7100_CONUS
3917138,22.16,0,22.16,0,22.16,0,RF7100_CONUS
3917154,32.03,0,32.21,0,32.21,0,RF7100_CONUS
3917156,31.23,0,31.23,0,31.23,0,RF7100_CONUS
3917158,23.78,0,23.78,0,23.78,0,RF7100_CONUS
3917160,22.64,0,22.64,0,22.64,0,RF7100_CONUS
3917162,32.43,0,28.04,0,28.04,0,RF7100_CONUS
3917164,27.04,0,27.04,0,27.04,0,RF7100_CONUS
3917172,31.32,0,31.32,0,31.32,0,RF7100_CONUS
3917176,32.87,0,29.43,0,29.43,0,RF7100_CONUS
3917178,34.87,0,29.14,0,29.14,0,RF7100_CONUS
3917194,31.15,0,31.15,0,31.15,0,RF7100_CONUS
3917198,17.2,0,28.53,0,28.53,0,RF7100_CONUS
3917200,17.2,0,27.85,0,27.85,0,RF7100_CONUS
3917212,29.8,0,29.8,0,29.8,0,RF7100_CONUS
3917214,26.67,0,26.67,0,26.67,0,RF7100_CONUS
3917218,17.7,0,28.31,0,28.31,0,RF7100_CONUS
3917220,18,0,27.6,0,27.6,0,RF7100_CONUS
3917228,18,0,18,0,18,0,RF7100_CONUS
3917230,11.51,0,11.51,0,11.51,0,RF7100_CONUS
3917244,11.75,0,37.05,0,42.88,0,RF7100_CONUS
3917250,30.94,0,30.94,0,30.94,0,RF7100_CONUS
3917256,18.01,0,32.51,0,32.51,0,RF7100_CONUS
3917268,18,0,31.92,0,31.92,0,RF7100_CONUS
3917272,28.3,0,35.04,0,35.04,0,RF7100_CONUS
3917274,18.66,0,18.66,0,18.66,0,RF7100_CONUS
3917276,30,0,34.29,0,34.29,0,RF7100_CONUS
3917278,26.04,0,32.73,0,32.73,0,RF7100_CONUS
3917280,18.22,0,29.02,0,29.02,0,RF7100_CONUS
3917282,20.88,0,30.94,0,30.94,0,RF7100_CONUS
3917284,20.1,0,29.94,0,29.94,0,RF7100_CONUS
3917286,19.95,0,19.95,0,19.95,0,RF7100_CONUS
3917912,33.4,0,28.71,0,28.71,0,RF7100_CONUS
3917914,21.08,0,21.38,0,21.38,0,RF7100_CONUS
3917916,27.72,0,27.42,0,27.42,0,RF7100_CONUS
3917918,26.88,0,29.04,0,29.04,0,RF7100_CONUS
3917920,17.2,0,21.52,0,21.52,0,RF7100_CONUS
3917922,18.09,0,18.09,0,18.09,0,RF7100_CONUS
3917946,11.87,0,36.49,0,42.37,0,RF7100_CONUS
3917948,16.19,0,27.63,0,27.63,0,RF7100_CONUS
3917950,13.83,0,37.51,0,43.28,0,RF7100_CONUS
3917956,38.3,0,38.3,0,38.3,0,RF7100_CONUS
3917958,35.63,0,35.63,0,35.63,0,RF7100_CONUS
3917960,36.08,0,36.08,0,36.08,0,RF7100_CONUS
948010089,17.2,0,18.01,0,18.01,0,RF7100_CONUS
