COMID,CAT_SALINAVE,NODATA,ACC_SALINAVE,ACC_NODATA,TOT_SALINAVE,TOT_NODATA,source
3917070,47.06,0,47.06,0,47.06,0,SALINAVE_CONUS
3917072,0,0,0,0,0,0,SALINAVE_CONUS
3917082,100,0,100,0,100,0,SALINAVE_CONUS
3917084,97.52,0,97.52,0,97.52,0,SALINAVE_CONUS
3917106,71.64,0,87.76,0,87.76,0,SALINAVE_CONUS
3917114,0,0,0,0,0,0,SALINAVE_CONUS
3917130,1.41,0,34.63,0,34.63,0,SALINAVE_CONUS
3917136,73.42,0,73.42,0,73.42,0,SALINAVE_CONUS
3917138,20.45,0,20.45,0,20.45,0,SALINAVE_CONUS
3917154,4.71,0,12.3,0,12.3,0,SALINAVE_CONUS
3917156,5.09,0,5.09,0,5.09,0,SALINAVE_CONUS
3917158,25,0,25,0,25,0,SALINAVE_CONUS
3917160,25,0,25,0,25,0,SALINAVE_CONUS
3917162,0,0,30.92,0,30.92,0,SALINAVE_CONUS
3917164,25,0,25,0,25,0,SALINAVE_CONUS
3917172,13.12,0,13.12,0,13.12,0,SALINAVE_CONUS
3917176,2.81,0,23.68,0,23.68,0,SALINAVE_CONUS
3917178,0.88,0,25.37,0,25.37,0,SALINAVE_CONUS
3917194,0,0,0,0,0,0,SALINAVE_CONUS
3917198,43.84,0,22.85,0,22.85,0,SALINAVE_CONUS
3917200,61.86,0,23.26,0,23.26,0,SALINAVE_CONUS
3917212,1.18,0,1.18,0,1.18,0,SALINAVE_CONUS
3917214,14.65,0,14.65,0,14.65,0,SALINAVE_CONUS
3917218,27.11,0,5.02,0,5.02,0,SALINAVE_CONUS
3917220,68,0,7.44,0,7.44,0,SALINAVE_CONUS
3917228,40,0,40,0,40,0,SALINAVE_CONUS
3917230,165.75,0,165.75,0,165.75,0,SALINAVE_CONUS
3917244,307.6,0,62.37,0.12,57.43,0.45,SALINAVE_CONUS
3917250,4.73,0,4.73,0,4.73,0,SALINAVE_CONUS
3917256,27.23,0,5.45,0,5.45,0,SALINAVE_CONUS
3917268,48.13,0,7.19,0,7.19,0,SALINAVE_CONUS
3917272,9.63,0,3.14,0,3.14,0,SALINAVE_CONUS
3917274,25,0,25,0,25,0,SALINAVE_CONUS
3917276,14.49,0,3.98,0,3.98,0,SALINAVE_CONUS
3917278,24.7,0,7.89,0,7.89,0,SALINAVE_CONUS
3917280,48.94,0,16.61,0,16.61,0,SALINAVE_CONUS
3917282,26.74,0,10.68,0,10.68,0,SALINAVE_CONUS
3917284,38.95,0,13.28,0,13.28,0,SALINAVE_CONUS
3917286,67.79,0,67.79,0,67.79,0,SALINAVE_CONUS
3917912,0,0,27.53,0,27.53,0,SALINAVE_CONUS
3917914,14.82,0,23.36,0,23.36,0,SALINAVE_CONUS
3917916,0.54,0,7.23,0,7.23,0,SALINAVE_CONUS
3917918,10.93,0,22.61,0,22.61,0,SALINAVE_CONUS
3917920,27.31,0,25.58,0,25.58,0,SALINAVE_CONUS
3917922,25.8,0,25.8,0,25.8,0,SALINAVE_CONUS
3917946,279.58,0,66.76,0.12,60.73,0.44,SALINAVE_CONUS
3917948,276.38,0,28.04,0,28.04,0,SALINAVE_CONUS
3917950,421.26,0,57.97,0.12,54.18,0.45,SALINAVE_CONUS
3917956,0,0,0,0,0,0,SALINAVE_CONUS
3917958,0,0,0,0,0,0,SALINAVE_CONUS
3917960,0,0,0,0,0,0,SALINAVE_CONUS
948010089,62.17,0,29.05,0,29.05,0,SALINAVE_CONUS
